region,state,year_registered,area_km2,altitude_min,altitude_max,latitude,rainfall_annual_mm,rainfall_growing_season_mm,growing_degree_days,mean_jan_temp_c,vineyard_hectares,avg_crush_tonnes,crush_2020,crush_2021,crush_2022,crush_2023,crush_2024,crush_2025_forecast
Granite Belt,QLD,2002,1158,604.0,1298.0,-28.9633196911508,759,550,1875,21.5,316,366,74.7129186460466,261,330,481,665,710
South Burnett,QLD,2000,8274,169.0,1141.0,-26.9986473386037,708,545,2660,24.8,217,36,43.810106035653,48,9,42,40,5
Perricoota,NSW,1999,597,85.0,127.0,-36.1299061890194,397,229,2199,24.6,416,1415,249.992595136376,382,4112,1486,865,716
Riverina,NSW,1998,77974,66.0,540.0,-35.6711141783766,422,259,2526,26.5,17247,290791,301174.062166823,351209,323502,220268,261915,299752
Cowra,NSW,1998,1456,262.0,527.0,-34.0586579210262,635,398,2238,25.2,931,1938,3089.21023269449,2542,183,3261,637,2216
Mudgee,NSW,2000,9760,227.0,1242.0,-33.1255350743841,711,472,2027,23.5,1922,1721,1963.60990953907,1427,1486,1786,1971,2066
Orange,NSW,1997,3422,376.0,1390.0,-33.8123725433582,797,489,1608,21.8,1060,3423,1633.82065597937,3440,4358,4310,3437,4392
Hunter,NSW,1997,19908,0.0,1597.0,-33.1389521247407,807,557,2207,23.7,2608,4468,2420.02611534072,4494,6157,5132,4217,6128
Hastings River,NSW,1999,1524,0.0,649.0,-31.7339031779892,1426,1041,2357,23.4,13,13,10.8325264744617,3,1,20,31,0
New England Australia,NSW,2008,26814,205.0,1579.0,-31.3937109061334,815,582,1747,21.2,76,25,19.1405662428448,0,0,54,3,33
Shoalhaven Coast,NSW,2002,2173,0.0,702.0,-35.6862182471743,1222,787,2006,21.8,41,11,5.83177737521491,11,4,3,33,57
Southern Highlands,NSW,2002,2687,54.0,906.0,-34.7693022279154,941,631,1624,20.8,140,26,,9,1,41,55,0
Canberra District,NSW,1998,8607,264.0,1419.0,-35.5844421879565,732,450,1632,21.9,329,451,,565,339,502,406,806
Gundagai,NSW,2002,8846,179.0,1168.0,-35.4967118969365,692,403,2048,24.4,595,4414,422.815074659572,2178,5703,7400,6493,6267
Hilltops,NSW,1998,3143,249.0,716.0,-34.8233677687075,658,393,1960,23.9,594,1016,1169.69753207724,1281,1319,829,481,485
Tumbarumba,NSW,1998,3007,209.0,1290.0,-36.3455817918662,883,484,1696,22.5,214,391,,359,309,446,459,559
Peel,WA,2001,7864,0.0,592.0,-33.169289647799,707,175,2152,23.3,51,11,13.2381346417379,19,0,0,2,0
Perth Hills,WA,1999,3282,10.0,573.0,-32.4991527151257,788,192,2358,24.4,119,128,166.1753748111,44,247,103,79,89
Blackwood Valley,WA,1998,5920,35.0,379.0,-34.2706327596941,665,184,1824,21.5,309,1099,708.162820133189,954,1371,1471,1015,1178
Geographe,WA,1999,5561,0.0,406.0,-33.938578567247,793,181,2015,22.5,789,2101,1842.28538872597,2230,2388,2216,1866,1967
Great Southern,WA,1996,17131,0.0,1083.0,-35.1348459916492,654,249,1724,20.2,2479,6677,6112.2825024758,9259,7853,5321,4900,6692
Manjimup,WA,2006,2246,108.0,345.0,-34.5828791772322,769,234,1727,20.6,153,59,17.6343975861306,92,126,47,12,133
Margaret River,WA,1996,2137,0.0,234.0,-34.3767560067843,912,215,1882,21.0,5670,28364,23900.8868618506,27334,29649,32175,29020,27905
Pemberton,WA,2006,2054,6.0,317.0,-34.818939851393,1091,305,1721,20.3,466,1756,1441.20489974556,1843,1808,1797,1924,1780
Swan District,WA,1998,3593,0.0,283.0,-32.0785025676394,624,149,2557,25.0,709,2526,2835.11857096073,2686,2378,2485,2287,2261
Yarra Valley,VIC,1996,3130,17.0,1338.0,-37.9784422608017,1089,561,1414,19.8,2535,8621,6960.12199822363,11396,6779,7966,10171,9766
Upper Goulburn,VIC,2003,5169,140.0,1777.0,-37.4887230758093,863,449,1519,21.0,288,865,399.565348358499,955,941,736,1314,717
Swan Hill,VIC,1996,2741,47.0,129.0,-35.6677430418079,334,196,2337,25.2,2086,45302,51092.5997488583,58065,46975,29342,41618,46598
Sunbury,VIC,1998,1273,0.0,494.0,-37.824046681609,537,330,1641,20.9,100,82,52.2560897688729,42,106,18,116,20
Strathbogie Ranges,VIC,2002,1977,144.0,1044.0,-37.1328466373624,795,410,1596,21.6,533,1640,1463.91855112638,2978,1984,1446,342,2123
Rutherglen,VIC,1997,998,122.0,592.0,-36.2637367470532,636,363,2049,24.3,778,3229,2510.69455258623,3333,4309,2911,3134,2471
Pyrenees,VIC,2000,2714,171.0,788.0,-37.3559906115774,513,256,1683,21.7,869,1202,1087.66012534705,2294,1253,684,701,1595
Murray Darling,VIC,1997,25578,19.0,134.0,-34.9966609000804,284,176,2527,26.2,13490,303177,341927.398319282,388588,314376,196367,278526,311847
Mornington Peninsula,VIC,1997,723,0.0,315.0,-38.4993676581908,773,387,1535,19.7,919,1834,1910.38596902504,2352,1241,1833,1862,2718
Macedon Ranges,VIC,2002,2815,211.0,1013.0,-37.5570756027568,755,380,1364,20.0,215,226,49.6306684543771,75,218,432,361,444
King Valley,VIC,2007,2021,,,-36.9827743456595,981,501,1687,22.3,1483,18102,12123.2872188658,22088,21232,16787,18600,24060
Henty,VIC,2000,14690,0.0,458.0,-38.4329684002714,673,292,1417,19.6,139,445,258.908485546561,680,528,430,333,451
Heathcote,VIC,2002,1913,112.0,599.0,-37.1185201296003,531,295,1850,22.8,1695,8529,7905.50357805018,10175,10345,6444,7498,8543
Grampians,VIC,1997,9424,142.0,1161.0,-37.8928264827559,573,267,1515,20.7,640,2051,1538.1738995476,3795,2171,1404,1370,2014
Goulburn Valley,VIC,1999,9785,86.0,411.0,-37.2066910191751,489,284,2069,23.9,1214,6675,7190.81365323935,9575,7577,2737,6378,4999
Glenrowan,VIC,2003,1297,128.0,507.0,-36.6136517820041,575,327,1995,23.9,205,884,427.38741242087,736,1456,871,945,827
Geelong,VIC,1996,2821,0.0,396.0,-38.4148809331085,524,292,1548,20.1,466,1237,1103.48442895557,1289,1219,1241,1356,1471
Bendigo,VIC,2001,7388,107.0,748.0,-37.267741205792,504,272,1855,22.7,609,1442,1569.6094225913,1974,1684,730,1273,1547
Beechworth,VIC,2000,398,204.0,1045.0,-36.4592322376776,906,474,1689,22.5,126,375,19.0654260343564,427,484,394,542,729
Alpine Valleys,VIC,1999,3629,155.0,1972.0,-36.9827743456595,1126,577,1558,21.6,240,2329,565.682405395847,3027,3205,2722,2169,2950
Adelaide Plains,SA,2002,916,0.0,154.0,-34.8525596013445,404,176,2238,23.9,497,2240,2383.18946925105,3258,2102,1672,1812,1812
Barossa Valley,SA,1997,578,112.0,596.0,-34.7128928281414,510,215,1948,22.8,11156,55806,31767.3164099912,67126,53694,71492,56073,57743
Clare Valley,SA,1999,680,190.0,609.0,-34.1070268610008,530,229,1931,22.9,4993,21624,13397.2288930207,22131,28955,25301,18707,19116
Coonawarra,SA,2003,398,51.0,127.0,-37.465632892344,598,238,1556,20.5,5292,35585,29428.4080749484,55836,39930,22424,30777,35294
Currency Creek,SA,2001,469,0.0,286.0,-35.5620144442112,469,180,1850,21.2,1053,4532,3576.51803615005,6152,4747,4270,3985,5998
Kangaroo Island,SA,2000,4405,0.0,316.0,-36.0756978835504,602,194,1611,20.0,144,159,162.094252144099,176,180,136,144,172
Langhorne Creek,SA,1998,241,0.0,64.0,-35.4055742617427,401,174,1957,21.9,6093,36413,27237.0941748027,59533,40231,29336,26195,34218
Mount Benson,SA,1997,276,0.0,70.0,-37.1270073420152,557,190,1508,19.4,534,3088,2534.72932584166,3314,4217,2988,2433,3793
Mount Gambier,SA,2010,2659,0.0,,-38.0614624830071,714,271,1435,19.5,273,910,727.50301260157,910,1045,1023,859,927
Padthaway,SA,1999,359,12.0,117.0,-36.9451670701042,485,199,1686,21.2,4066,31979,18424.4262241597,48720,31842,29395,32068,40102
Riverland,SA,1998,4105,0.0,99.0,-34.4999865661271,260,150,2332,24.9,21816,517413,517441.811733078,620941,560207,452263,443639,436564
Robe,SA,2006,891,0.0,68.0,-37.4924792310317,636,213,1470,19.3,677,3414,1520.99482919499,4743,4436,3063,3366,4351
Southern Fleurieu,SA,2001,1377,0.0,442.0,-35.665876302849,711,244,1621,20.1,487,674,682.120569665907,1165,913,411,202,102
Southern Flinders Ranges,SA,2003,4654,1.0,958.0,-33.4710110107495,422,206,2206,24.4,175,783,690.101132704759,1262,1197,599,172,480
Wrattonbully,SA,2005,753,41.0,145.0,-37.226524130684,518,214,1635,21.0,2666,21076,13874.9064133376,36442,23447,14586,17313,18407
Eden Valley,SA,1997,591,219.0,632.0,-34.775524438402,536,220,1782,21.9,2101,7541,4064.70172770753,10766,7563,7846,7637,6897
Adelaide Hills,SA,1998,1451,149.0,714.0,-35.3495292879462,754,267,1690,21.1,3831,21093,13512.800141154,33421,22699,19950,16186,26927
Tasmania,TAS,1994,68582,0.0,1264.0,-43.7429816292987,1280,588,777,15.8,1702,12705,10279.3453810662,12013,12118,11765,16701,18764
Mclaren Vale,SA,1997,433,0.0,417.0,-35.348782481926,590,214,1925,21.9,7172,34603,,41464,38679,29132,32023,39261
